Atom_idx, Charge
0, -0.026830350742940816
1, 0.08709759963704605
2, -0.2371264303974147
3, 0.12903437073774185
4, 0.12877829614599956
5, -0.23953414565725958
6, 0.24301869934635242
7, 0.07913445506526867
8, 0.02704774048328438
9, 0.02704774048328438
10, 0.02704774048328438
11, 0.07558494581617678
12, 0.07558494581617678
13, 0.1135334468629015
14, 0.11352265587487018
15, 0.16067865308360263
16, 0.07212654565387525
17, 0.07212654565387525
18, 0.07212654565387525

#Total charge = 1.0000000000000002
